id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6873473,Amsterdam Zimmer für 2,27280608,Petra,,Bijlmer-Oost,52.32236610574357,4.97283838863628,Private room,60,1,3,2015-07-06,1.27,1,350
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336358793,4.9744728650035555,Private room,62,1,15,2015-08-26,7.50,1,46
1236080,Studio Diemerbos,5159981,Gerrit,,Bijlmer-Oost,52.32689147046819,4.980092559201902,Private room,105,1,0,,,1,89
6664829,Your spot of paradise in Amsterdam!,34887518,Tamara,,Bijlmer-Oost,52.32042005536974,4.990763722536479,Private room,49,1,17,2015-08-30,6.07,1,330
3951418,cute clean room for rent!! ,20393437,Nadia,,Bijlmer-Oost,52.32018743614052,4.974145263281653,Private room,36,1,22,2015-08-24,1.79,1,250
6117693,Relax Room + Wifi,19765075,JLarry,,Bijlmer-Oost,52.32325378981776,4.971602827752756,Private room,100,1,1,2015-05-03,0.24,4,108
2508498,Comfortable  room for 1 or 2 people,12839939,Astrid,,Bijlmer-Oost,52.32581789903912,4.980847480341428,Private room,60,1,6,2015-08-18,0.36,2,245
6908304,Lockable room with free parking,15770150,Bene,,Bijlmer-Oost,52.3222406493397,4.986591613108508,Private room,40,3,3,2015-08-04,1.34,1,339
3838786,Relaxing room + Wi-Fi,19765075,JLarry,,Bijlmer-Oost,52.32411337819015,4.972732719247392,Private room,50,1,7,2015-08-07,0.55,4,358
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Private room,35,4,6,2015-08-18,0.61,1,305
7706472,Spacious With A Beautiful View,38310525,Kim,,Bijlmer-Oost,52.3217825549668,4.978351405273882,Entire home/apt,119,1,4,2015-08-28,4,1,311
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,3,2015-08-19,1.43,1,245
6686932,2/3/4 PERS ROOM AMSTERDAM ZUID-OOST,34999599,Sietse,,Bijlmer-Oost,52.31909760836208,4.972880665054958,Private room,65,5,2,2015-08-05,1.22,1,332
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,49,2,83,2015-08-24,5.16,1,301
3837203,Spacious room + Wi-Fi,19765075,JLarry,,Bijlmer-Oost,52.32370692742325,4.9717646777084505,Private room,100,1,4,2015-07-19,0.39,4,365
2630307, Mooie ruime  appartement ,13473450,,,Bijlmer-Oost,52.322105203569116,4.966408805476498,Entire home/apt,90,4,9,2015-06-01,0.55,1,365
6060038,Comfortable Room + Wi-Fi,19765075,JLarry,,Bijlmer-Oost,52.32244486058635,4.97173501447762,Private room,125,1,1,2015-05-04,0.24,4,112
3905287,Bed&Breakfast Thea/free parking,16567328,Thea,,Bijlmer-Oost,52.319784253576934,4.962587247424782,Private room,62,1,39,2015-08-17,3.12,1,338
2784149,Lovely room with free parking,12839939,Astrid,,Bijlmer-Oost,52.325473462333335,4.982230097360727,Private room,70,1,6,2015-04-28,0.36,2,331
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,5,2015-08-18,3.26,1,27
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415001058,4.960662732686624,Private room,42,1,5,2015-08-17,2.94,1,243
3719167,Big room in A´dam,18991270,Maria,,Bijlmer-Oost,52.316710723876675,4.986617637373466,Private room,59,5,7,2015-08-15,0.55,1,338
7241009,Family House nearby city centre,2802365,Laurens,,Noord-Oost,52.40774817762915,4.933144005773879,Entire home/apt,180,5,0,,,1,285
5121714,200m2 met grote tuin en boomhut!,1122647,Jeannette,,Noord-Oost,52.3978052800146,4.924147226999714,Entire home/apt,180,4,3,2015-08-08,2.05,1,0
4773154, Apartment in Amsterdam,16176192,Eli,,Noord-Oost,52.395983173748135,4.930587750688956,Entire home/apt,95,1,4,2015-04-06,0.67,1,92
2613187,B&B  DE ZWARTE KAT,13381627,Dezwartekat,,Noord-Oost,52.39449780411922,4.945398676032854,Private room,68,2,44,2015-08-20,2.55,1,327
8023443,Comfy room for one or two,36822577,Majette,,Noord-Oost,52.39869328845823,4.954992439606769,Private room,55,1,0,,,3,311
4647841,"Quick to Central Station,  15 min.",24060635,Paul,,Noord-Oost,52.393571272000386,4.94619005712261,Private room,48,2,1,2015-08-20,1,1,256
