id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6337652,"Clean, Cosy & Comfy (Westall Room)",4651541,Lilia,,Greater Dandenong,-37.96625634985826,145.1367165061292,Private room,60,1,0,,,3,364
4287875,small and comfy,22260925,Melroy,,Greater Dandenong,-37.98317663259588,145.17193088883062,Private room,50,2,9,2015-09-27,0.80,1,318
7718992,Home Stay for International Student,39422590,,,Greater Dandenong,-37.98650719397885,145.16537886207004,Private room,50,1,0,,,1,365
6682197,2 bedroom house w/ lock-up garage,34976597,Matt,,Greater Dandenong,-37.97452575446279,145.15645907832263,Entire home/apt,80,7,2,2015-09-04,1.87,1,158
7163795,Shariff's Unit,27137917,Shariff,,Greater Dandenong,-37.96546249108037,145.16710823366827,Shared room,26,25,0,,,1,306
6754222,https://Springvale convienent place,35363676,Liza,,Greater Dandenong,-37.93620415244278,145.1559829338648,Private room,50,1,0,,,1,355
6559957,Melbourne Garden Hostel,34310230,Karen,,Greater Dandenong,-37.94100533206045,145.14569645636075,Shared room,20,1,0,,,3,357
8464413,全新、时尚、清新、干净、安全、安静的居住环境,44557677,Junmei,,Greater Dandenong,-37.99732205654836,145.14834546726797,Private room,70,1,0,,,1,365
3554332,1 Bed room In a Town House,17896158,Raphael,,Greater Dandenong,-37.95487153827552,145.18267165068815,Private room,89,1,0,,,1,365
6339558,Tell Mom your OK (Westall Room),4651541,Lilia,,Greater Dandenong,-37.966482612177266,145.13829049860666,Private room,60,1,0,,,3,365
522127,Spacious and comfortable bedroom ,2538641,Edvina,,Greater Dandenong,-38.00214332370111,145.15188520239482,Private room,95,3,2,2015-01-30,0.13,1,365
6339360,Ideal for  Solo traveller (Effie),4651541,Lilia,,Greater Dandenong,-37.96800243528063,145.1374797851634,Private room,45,1,0,,,3,350
6384614,"Feel at home,close to facilities",33277326,Nusrat,,Greater Dandenong,-37.964165992752186,145.18005003824993,Private room,60,1,0,,,1,344
6156890,Charming Melbourne private room,31940564,Qing,,Greater Dandenong,-38.003320428396925,145.1557055792516,Private room,65,1,2,2015-08-25,0.71,1,363
6561521,Melbourne Garden Hostel,34310230,Karen,,Greater Dandenong,-37.942195743893556,145.1446049878557,Shared room,38,1,2,2015-07-04,0.62,3,347
4542586,MELBOURNE Lovely room ,23555375,Eric,,Greater Dandenong,-38.002058728969025,145.16661432318358,Private room,75,1,0,,,1,365
7095182,New Executive Apartment furnished,6460810,,,Greater Dandenong,-37.98580018658054,145.2220528724435,Entire home/apt,125,1,3,2015-10-02,1.38,1,353
1024812,A Clean Private Room In Tarneit,5642324,Jonny,,Wyndham,-37.84576423603041,144.66857768198835,Private room,75,5,0,,,1,365
7847695,Watching ships on Port Phillip bay,41353275,Helen,,Wyndham,-37.96640112145295,144.70460149517663,Entire home/apt,190,1,0,,,1,335
8654769,"VILLA JEMMA + FREE CAR, SLEEPS 12",15651267,Sofia & Neil,,Wyndham,-37.91119339446493,144.7786337945127,Entire home/apt,194,2,0,,,5,365
4217935,full house- Miners Cottage complete,21891270,,,Wyndham,-37.91010651368236,144.6567139429693,Entire home/apt,111,1,33,2015-09-13,3.39,1,297
6263917,Point Cook Guest Room with Ensuite,20095699,Stephen,,Wyndham,-37.90354425705308,144.74822188351615,Private room,60,1,0,,,1,363
8460414,Modern house.,227700,David,,Wyndham,-37.89122139127983,144.68197798025415,Private room,50,1,0,,,1,365
5888454,Short/Long Stay @ Westbourne Manor,30581042,Loida,,Wyndham,-37.85452709598394,144.74678750530273,Private room,60,3,1,2015-09-28,1,3,354
8002331,Private Room Double Bed Point Cook,36591532,Reny,,Wyndham,-37.897788444148354,144.72829311895168,Private room,40,1,0,,,2,348
5907584,Cheyenne Room @ Westbourne Manor,30581042,Loida,,Wyndham,-37.85620525296774,144.74649163621248,Private room,60,3,0,,,3,341
5222707,Charming 4BR Home 22 km to Melborne,5598870,Arya,,Wyndham,-37.86522874287097,144.72259413686987,Entire home/apt,159,3,10,2015-09-23,1.38,2,267
6487741,Modern & spacious lakeside living,1751503,Charlin & Candy,,Wyndham,-37.89503085249538,144.77434804434228,Private room,50,1,0,,,1,365
4684749,Double room with access to pool/gym,1360067,Sharmaine,,Wyndham,-37.9091612130885,144.7739452840945,Private room,45,4,1,2015-06-09,0.26,1,365
8155910,Modern 4 bedroom home,36078187,Bailey,,Wyndham,-37.91166912130312,144.77041438232504,Private room,55,2,0,,,1,267
5631951,A room (and den) just like home,14387888,Carol,,Wyndham,-37.89717202827152,144.65308776194237,Shared room,53,1,4,2015-10-01,0.65,1,361
5907737,Mandy Room @ Westbourne Manor,30581042,Loida,,Wyndham,-37.85581054459025,144.74676088061943,Private room,60,1,1,2015-08-17,0.64,3,365
8152019,Spacious Bedroom and private bath,25983721,Kris,,Wyndham,-37.85735227578081,144.73672230662388,Private room,40,1,0,,,1,365
8658023,"VILLA EDGEVIEW + FREE CAR, SLEEP 12",15651267,Sofia & Neil,,Wyndham,-37.91503939601672,144.77844994724137,Entire home/apt,194,2,0,,,5,365
6443247,Two-Bedroom Apartment,18069116,,,Wyndham,-37.866061268113285,144.76130280254552,Entire home/apt,111,2,0,,,2,347
5787156,Fully furnished CHEAP & NICE room,27456244,Jas,,Wyndham,-37.90530037526104,144.7437737042401,Private room,50,1,0,,,1,365
8506529,提供大家一个来墨尔本探亲旅游，学习工作暂住的，价廉质优的房间！,38745614,Stella,,Wyndham,-37.89086647547572,144.73517086173635,Shared room,50,1,0,,,1,365
7252782,Granny Mansion,37971839,Judy,,Wyndham,-37.85290283699034,144.69835495164375,Entire home/apt,75,1,1,2015-07-26,0.43,1,181
4391429,Modern 3BR Home. 22 km to Melb CBD.,5598870,Arya,,Wyndham,-37.84525940539463,144.72971673410558,Entire home/apt,149,3,37,2015-09-23,3.54,2,261
7864485,Private Room Melbourne West Suburb,36591532,Reny,,Wyndham,-37.897600253727646,144.728636671931,Private room,45,1,2,2015-09-18,1.82,2,335
5621528,Halal home with Country hospitality,29140595,Cassie,,Hume,-37.68866389832269,144.9303817215886,Private room,82,1,0,,,1,365
8580774,Very close to Melbourne Airport,21505124,Domenic,,Hume,-37.690372632586495,144.9299321155833,Private room,65,1,0,,,2,350
6011446,Backpackers delight!,31206106,Adriana,,Hume,-37.67906043694317,144.88389894254078,Private room,50,1,3,2015-07-06,0.59,1,329
8581419,Close to the city is well,45162696,Galya,,Hume,-37.687529570647364,144.88745576226955,Private room,50,1,0,,,1,365
6667300,VILLA TUSCANY - MELBOURNE + CAR,15651267,,,Hume,-37.55793797863698,144.8965516434781,Entire home/apt,395,2,0,,,5,362
8654594,Comfortable room near MEL Airport,45482644,Cherlyn,,Hume,-37.62699362707985,144.87557454748125,Private room,43,1,0,,,1,365
5446822,House close to Melbourne Airport,18167309,Nicholas,,Hume,-37.70133378398005,144.87248389130818,Entire home/apt,150,1,8,2015-09-06,3.16,1,346
