id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1789525,Cozy In-Law Unit in Victorian House,7727534,Lisa And Tim,,Acorn-Acorn Industrial,37.800801273647345,-122.30089194298004,Entire home/apt,170,3,38,2015-06-30,1.89,4,320
6093412,Cozy room close to Bart Station,31615255,James,,Acorn-Acorn Industrial,37.805462299217425,-122.28541683096581,Private room,80,1,0,,,1,67
5421997,Cozy Private Room In Oakland!,2104891,Kehau,,Adams Point,37.814514601019496,-122.25176476812437,Private room,55,1,0,,,1,105
5970720,Quiet&Spacious Lake Merritt Studio,8050431,Steph,,Adams Point,37.809886886593425,-122.25849782926053,Entire home/apt,68,2,2,2015-06-16,2,1,59
3878187,Charming Sunny 1 BR by Lake Merritt,59725,Sasha,,Adams Point,37.80933450915695,-122.2570511568613,Entire home/apt,100,10,3,2014-10-29,0.28,1,306
3921382,Footsteps from Lake Merritt!,20311575,Max,,Adams Point,37.809853216066294,-122.25491410322837,Entire home/apt,125,4,1,2014-08-31,0.10,1,221
253255,Light-filled room near Lake Merritt,1329613,Rebecca,,Adams Point,37.816161641101786,-122.25434419072657,Private room,70,1,9,2015-06-24,4.29,1,123
4303313,Gorgeous Huge Room on Lake Merritt,9496541,Jacqueline,,Adams Point,37.812183633565006,-122.25312984630467,Private room,80,1,2,2015-01-09,0.23,1,320
1354419,Apartment Across From Lake Merritt,1475400,Karen,,Adams Point,37.81059155819054,-122.2600116979888,Entire home/apt,125,2,21,2015-06-15,0.90,1,51
1382703,"Private Room, Central Location",7486964,Cynthia,,Adams Point,37.81108934554497,-122.25387403756504,Private room,95,2,57,2015-06-29,2.39,1,351
4085026,Lake Merritt Perch,7488007,Nate,,Adams Point,37.80989166775656,-122.25539466006208,Private room,79,1,1,2014-11-25,0.13,2,328
1538527,Enjoy a Quiet & Sun Filled Apt. ,4256747,Steve,,Adams Point,37.8102839801359,-122.25174531205845,Private room,49,2,43,2015-06-21,1.90,1,276
604874,Comfy Private Room & Bath,2994092,David And P.J.,,Adams Point,37.815296153010436,-122.25471841160906,Private room,65,2,67,2015-03-24,1.93,1,0
5620026,Heart of Bay Area,10460463,Jonathan,,Adams Point,37.81105816661382,-122.25430410973692,Private room,75,1,37,2015-06-22,9.65,1,313
89211,Big Bright Room with Private Deck ,115585,Claudia,,Adams Point,37.81244405045572,-122.2525502034793,Private room,108,2,79,2015-06-09,1.55,7,182
4163244,GREAT PLACE NEAR Whole Foods & Lake,2991751,Yuko,,Adams Point,37.81415371435637,-122.2570972219003,Private room,50,1,0,,,1,293
3361931,Humble Zen-like Artist's Flat  ,5094128,Aya-Nikole,,Adams Point,37.8111591672691,-122.25825533292996,Entire home/apt,99,1,13,2015-06-15,1.07,1,0
4914383,Quaint and Peaceful Oakland Apt,774466,Genna,,Adams Point,37.81072632822632,-122.25472123021422,Entire home/apt,85,1,4,2015-06-28,1.33,1,162
1759482,Adams Point/Lake Merritt Beauty!,569154,Lana,,Adams Point,37.81380600422945,-122.251969795461,Entire home/apt,90,3,15,2015-06-24,0.75,1,353
1953799,Urban Oasis near Lake Merritt,6807650,Julian,,Adams Point,37.81179378558094,-122.25684540553316,Entire home/apt,150,3,15,2015-06-03,0.97,1,320
5641058,Cute Lake Merritt 1-BDR Apt.,29234577,Karis,,Adams Point,37.812609511152544,-122.25189775167317,Entire home/apt,99,2,1,2015-05-31,0.77,1,87
3120687,Charming Lake Merritt Studio!,9345537,Lenore,,Adams Point,37.809164684961125,-122.25789657670148,Entire home/apt,70,14,0,,,1,216
5307376,Downtown Oakland view Lake Merritt ,27490065,Elle,,Adams Point,37.80947911746868,-122.25846356368342,Entire home/apt,220,4,4,2015-06-29,1.03,1,73
1709628,1 bedroom lakeside condo,6587867,Jennifer,,Adams Point,37.80919661448309,-122.25102823542585,Entire home/apt,250,1,1,2015-06-14,1,1,276
6224963,Beautiful 1 bedroom on Lake Merritt,9840637,Charlie,,Adams Point,37.80961771959515,-122.25661151103581,Entire home/apt,70,7,0,,,1,0
3231740,Beautiful 1 BD Lake Merritt View,781101,Nicole,,Adams Point,37.808613853835986,-122.25529968382081,Entire home/apt,130,2,3,2014-09-01,0.24,1,76
706506,Sunny apt w/massage & yoga room,1675895,Diane,,Adams Point,37.81147192120281,-122.25778627310739,Entire home/apt,109,3,8,2013-07-10,0.25,1,10
342204,Beautiful & Spacious - sleeps 3,1736185,Elena,,Adams Point,37.81068637230736,-122.25524277282801,Entire home/apt,150,21,2,2014-04-12,0.06,1,360
4868609,Charming 1 bedroom by Lake Merritt,5540685,Bethany,,Adams Point,37.812907330469535,-122.2535498800448,Entire home/apt,90,2,1,2014-12-29,0.16,1,287
1803059,Charming Studio on the Lake,7249,Eric,,Adams Point,37.80950280619793,-122.25726186209117,Entire home/apt,125,1,14,2015-06-30,0.68,1,365
1515858,"Adams Point, Craftsman 3  Bed Home",8072827,Susan,,Adams Point,37.81168080427506,-122.25406608758033,Entire home/apt,350,1,13,2015-05-25,1.08,1,274
27011,Beautiful Serene Room in Mansion,115585,Claudia,,Adams Point,37.812422297332674,-122.25255972932227,Private room,108,2,113,2015-06-02,1.82,7,180
1587634, Vintage Sunny 1bd on Lake Merrit ,8463726,Jodi,,Adams Point,37.81049021699393,-122.25994340498707,Entire home/apt,180,2,27,2015-06-29,1.24,1,344
